Name,Phone,Address,Yelp_URL
"La Grande Boucherie","+12125107714","145 W 53rd St, New York, NY 10019","https://www.yelp.com/biz/la-grande-boucherie-new-york-2?adjust_creative=UXC-7DhMRmbl5j3r-4UbkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UXC-7DhMRmbl5j3r-4UbkA"
"Olio e Più","+12122436546","3 Greenwich Ave, New York, NY 10014","https://www.yelp.com/biz/olio-e-pi%C3%B9-new-york-7?adjust_creative=UXC-7DhMRmbl5j3r-4UbkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UXC-7DhMRmbl5j3r-4UbkA"
"Bourbon and Branch","+19294194951","155 W 33rd St, New York, NY 10001","https://www.yelp.com/biz/bourbon-and-branch-new-york-city?adjust_creative=UXC-7DhMRmbl5j3r-4UbkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UXC-7DhMRmbl5j3r-4UbkA"
"Gulp","+19297898644","42-45 27th St, Long Island City, NY 11101","https://www.yelp.com/biz/gulp-long-island-city-2?adjust_creative=UXC-7DhMRmbl5j3r-4UbkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UXC-7DhMRmbl5j3r-4UbkA"
"Her Name Is Han","+12127799990","17 E 31st St, New York, NY 10016","https://www.yelp.com/biz/her-name-is-han-new-york-3?adjust_creative=UXC-7DhMRmbl5j3r-4UbkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UXC-7DhMRmbl5j3r-4UbkA"
"Soothr","+12128449789","204 E 13th St, New York, NY 10003","https://www.yelp.com/biz/soothr-new-york-2?adjust_creative=UXC-7DhMRmbl5j3r-4UbkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UXC-7DhMRmbl5j3r-4UbkA"
"Raku","+12122281324","342 E 6th St, New York, NY 10003","https://www.yelp.com/biz/raku-new-york-7?adjust_creative=UXC-7DhMRmbl5j3r-4UbkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UXC-7DhMRmbl5j3r-4UbkA"
"Blue Willow 夜来湘","+12122132299","40 W 56th St, New York, NY 10019","https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=UXC-7DhMRmbl5j3r-4UbkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UXC-7DhMRmbl5j3r-4UbkA"
"Raku","+12129894797","48 Macdougal St, New York, NY 10012","https://www.yelp.com/biz/raku-new-york-6?adjust_creative=UXC-7DhMRmbl5j3r-4UbkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UXC-7DhMRmbl5j3r-4UbkA"
"Cafe Mogador","+17184869222","133 Wythe Ave, Brooklyn, NY 11211","https://www.yelp.com/biz/cafe-mogador-brooklyn?adjust_creative=UXC-7DhMRmbl5j3r-4UbkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UXC-7DhMRmbl5j3r-4UbkA"
"The Osprey","+13476962505","60 Furman St, Ground Floor, Brooklyn, NY 11201","https://www.yelp.com/biz/the-osprey-brooklyn?adjust_creative=UXC-7DhMRmbl5j3r-4UbkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UXC-7DhMRmbl5j3r-4UbkA"
"Zou Zou’s","+12123808585","385 9th Ave, Ste 85, New York, NY 10001","https://www.yelp.com/biz/zou-zou-s-new-york-3?adjust_creative=UXC-7DhMRmbl5j3r-4UbkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UXC-7DhMRmbl5j3r-4UbkA"
"Izakaya MEW","+16463689384","53 W 35th St, New York, NY 10001","https://www.yelp.com/biz/izakaya-mew-new-york-3?adjust_creative=UXC-7DhMRmbl5j3r-4UbkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UXC-7DhMRmbl5j3r-4UbkA"
